Wed Dec 11 17:22:41 2024    profiling_results

         15688296 function calls (15687953 primitive calls) in 167.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 pyplot.py:3149(grid)
      186    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
        2    0.000    0.000    0.001    0.001 axis.py:2536(_init)
        8    0.001    0.000    0.001    0.000 {built-in method addAction}
       21    0.000    0.000    0.001    0.000 cbook.py:215(connect)
       50    0.000    0.000    0.001    0.000 colors.py:240(_check_color_like)
       34    0.000    0.000    0.001    0.000 tasks.py:653(sleep)
        2    0.001    0.001    0.001    0.001 {built-in method raise_}
       31    0.000    0.000    0.001    0.000 text.py:982(set_color)
       58    0.000    0.000    0.001    0.000 transforms.py:1340(__add__)
       28    0.000    0.000    0.001    0.000 font_manager.py:899(copy)
      159    0.001    0.000    0.001    0.000 <frozen ntpath>:179(splitroot)
       90    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
        1    0.000    0.000    0.001    0.001 legend_handler.py:103(legend_artist)
       16    0.000    0.000    0.001    0.000 patches.py:880(get_bbox)
       32    0.000    0.000    0.001    0.000 markers.py:257(_recache)
        1    0.000    0.000    0.001    0.001 cbook.py:1026(_combine_masks)
       37    0.000    0.000    0.001    0.000 lines.py:647(set_data)
        1    0.000    0.000    0.001    0.001 legend_handler.py:481(create_artists)
        1    0.000    0.000    0.001    0.001 collections.py:236(get_datalim)
     1735    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1000    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000001AE98981760}
      356    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       11    0.000    0.000    0.001    0.000 pathlib.py:407(_load_parts)
       12    0.000    0.000    0.001    0.000 lines.py:1183(set_marker)
      486    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       58    0.000    0.000    0.001    0.000 transforms.py:2498(composite_transform_factory)
       50    0.000    0.000    0.001    0.000 colors.py:221(is_color_like)
        2    0.000    0.000    0.001    0.001 axis.py:1189(_set_lim)
        2    0.000    0.000    0.001    0.001 cbook.py:732(safe_masked_invalid)
       18    0.000    0.000    0.001    0.000 transforms.py:813(from_extents)
       67    0.000    0.000    0.001    0.000 artist.py:730(set_figure)
       59    0.000    0.000    0.001    0.000 artist.py:437(set_transform)
      186    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
        2    0.000    0.000    0.001    0.000 offsetbox.py:716(__init__)
       24    0.000    0.000    0.001    0.000 core.py:2978(__array_finalize__)
       16    0.000    0.000    0.001    0.000 pathlib.py:583(name)
       27    0.000    0.000    0.001    0.000 pathlib.py:569(_tail)
        1    0.000    0.000    0.001    0.001 _base.py:2300(add_line)
       39    0.000    0.000    0.001    0.000 transforms.py:758(__init__)
       78    0.000    0.000    0.001    0.000 artist.py:1043(set_visible)
        2    0.000    0.000    0.001    0.000 _base.py:233(__call__)
      140    0.000    0.000    0.001    0.000 colors.py:216(_is_nth_color)
        2    0.000    0.000    0.001    0.000 patches.py:694(__init__)
        2    0.000    0.000    0.001    0.000 ticker.py:425(__init__)
       17    0.000    0.000    0.001    0.000 iostream.py:127(_event_pipe_gc)
      124    0.001    0.000    0.001    0.000 transforms.py:182(set_children)
       71    0.000    0.000    0.001    0.000 __init__.py:64(check_isinstance)
       14    0.000    0.000    0.001    0.000 path.py:99(__init__)
        1    0.000    0.000    0.001    0.001 _base.py:401(_plot_args)
      135    0.001    0.000    0.001    0.000 transforms.py:1769(__init__)
        2    0.000    0.000    0.001    0.000 ticker.py:537(set_useMathText)
      142    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       48    0.001    0.000    0.001    0.000 font_manager.py:814(set_size)
        1    0.000    0.000    0.001    0.001 legend_handler.py:506(create_collection)
      132    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      777    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.001    0.000 backend_bases.py:2243(mpl_connect)
       21    0.000    0.000    0.001    0.000 text.py:1095(set_fontsize)
       78    0.001    0.000    0.001    0.000 cbook.py:181(__init__)
        4    0.000    0.000    0.001    0.000 backend_bases.py:1946(get_width_height)
       46    0.000    0.000    0.001    0.000 lines.py:1270(set_xdata)
       55    0.000    0.000    0.001    0.000 transforms.py:2348(__init__)
        3    0.000    0.000    0.001    0.000 axis.py:440(_apply_tickdir)
    28/24    0.000    0.000    0.001    0.000 spines.py:339(get_spine_transform)
    37/31    0.000    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
      105    0.000    0.000    0.001    0.000 transforms.py:158(invalidate)
       23    0.000    0.000    0.001    0.000 fromnumeric.py:53(_wrapfunc)
        1    0.000    0.000    0.001    0.001 backend_qt.py:195(__init__)
      118    0.000    0.000    0.001    0.000 artist.py:103(_stale_axes_callback)
        1    0.000    0.000    0.001    0.001 pyplot.py:4127(title)
        3    0.000    0.000    0.001    0.000 core.py:1828(masked_where)
       18    0.000    0.000    0.001    0.000 transforms.py:794(unit)
        2    0.000    0.000    0.001    0.000 ticker.py:2858(__init__)
        3    0.000    0.000    0.001    0.000 axis.py:497(_apply_tickdir)
        7    0.000    0.000    0.001    0.000 offsetbox.py:217(__init__)
        1    0.000    0.000    0.001    0.001 backend_bases.py:2856(__init__)
        2    0.000    0.000    0.001    0.000 _base.py:532(<genexpr>)
       57    0.000    0.000    0.001    0.000 lines.py:1197(_set_markercolor)
       25    0.000    0.000    0.001    0.000 text.py:1027(set_linespacing)
       11    0.000    0.000    0.001    0.000 pathlib.py:387(_parse_path)
      124    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 _base.py:342(_makeline)
       19    0.000    0.000    0.001    0.000 lines.py:1138(set_linestyle)
       17    0.000    0.000    0.001    0.000 futures.py:311(_set_result_unless_cancelled)
        2    0.000    0.000    0.001    0.000 ticker.py:1974(__init__)
       12    0.000    0.000    0.001    0.000 patches.py:347(set_facecolor)
       37    0.000    0.000    0.001    0.000 transforms.py:1889(__init__)
        1    0.000    0.000    0.001    0.001 _axes.py:104(set_title)
       17    0.000    0.000    0.001    0.000 base_events.py:741(call_later)
       33    0.000    0.000    0.001    0.000 core.py:2952(_update_from)
        1    0.000    0.000    0.001    0.001 core.py:2332(masked_invalid)
      132    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.001    0.000 ticker.py:2034(set_params)
        9    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
       19    0.000    0.000    0.001    0.000 lines.py:1053(set_color)
       46    0.000    0.000    0.001    0.000 transforms.py:2043(scale)
       11    0.000    0.000    0.001    0.000 cbook.py:229(_connect_picklable)
        6    0.000    0.000    0.001    0.000 core.py:3071(__array_wrap__)
      712    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.001    0.000 transforms.py:327(max)
        1    0.000    0.000    0.001    0.001 _base.py:785(set_subplotspec)
       13    0.000    0.000    0.001    0.000 patches.py:340(_set_facecolor)
       18    0.000    0.000    0.001    0.000 fromnumeric.py:200(reshape)
       11    0.000    0.000    0.001    0.000 transforms.py:2324(blended_transform_factory)
        1    0.000    0.000    0.001    0.001 backend_qt.py:334(resizeEvent)
       11    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
       46    0.000    0.000    0.000    0.000 lines.py:1291(set_ydata)
        4    0.000    0.000    0.000    0.000 _base.py:2516(_process_unit_info)
        6    0.000    0.000    0.000    0.000 axis.py:1700(update_units)
        2    0.000    0.000    0.000    0.000 _base.py:1515(_set_title_offset_trans)
       17    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
        3    0.000    0.000    0.000    0.000 core.py:6870(__call__)
       21    0.000    0.000    0.000    0.000 cbook.py:110(_weak_or_strong_ref)
        1    0.000    0.000    0.000    0.000 pyplot.py:482(show)
      140    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       51    0.000    0.000    0.000    0.000 threading.py:1220(is_alive)
       46    0.000    0.000    0.000    0.000 text.py:1246(set_verticalalignment)
     12/6    0.000    0.000    0.000    0.000 units.py:164(get_converter)
        1    0.000    0.000    0.000    0.000 _base.py:2328(_update_line_limits)
       11    0.000    0.000    0.000    0.000 shape_base.py:612(column_stack)
    29/15    0.000    0.000    0.000    0.000 _base.py:909(get_xaxis_transform)
  140/105    0.000    0.000    0.000    0.000 transforms.py:167(_invalidate_internal)
       21    0.000    0.000    0.000    0.000 fromnumeric.py:40(_wrapit)
      261    0.000    0.000    0.000    0.000 transforms.py:113(__init__)
        1    0.000    0.000    0.000    0.000 gridspec.py:658(get_position)
      164    0.000    0.000    0.000    0.000 function_base.py:348(iterable)
       30    0.000    0.000    0.000    0.000 axis.py:338(_set_artist_props)
       27    0.000    0.000    0.000    0.000 text.py:1214(set_rotation)
        7    0.000    0.000    0.000    0.000 stride_tricks.py:480(broadcast_arrays)
       29    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3430(show)
       19    0.000    0.000    0.000    0.000 transforms.py:1084(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:3823(__init__)
       17    0.000    0.000    0.000    0.000 base_events.py:765(call_at)
        2    0.000    0.000    0.000    0.000 ticker.py:2013(_validate_steps)
        3    0.000    0.000    0.000    0.000 collections.py:762(_set_facecolor)
        9    0.000    0.000    0.000    0.000 transforms.py:2282(__init__)
